pcode,name,governorate_name,region_name,n_neighbours,island_bridged,region_cluster,region_saied_mean,region_zammel_mean,region_maghzaoui_mean,saied_lisa_class,saied_lisa_i,saied_lisa_p,saied_lisa_sig,saied_gi_z,saied_gi_p,saied_gi_sig,zammel_lisa_class,zammel_lisa_i,zammel_lisa_p,zammel_lisa_sig,zammel_gi_z,zammel_gi_p,zammel_gi_sig,maghzaoui_lisa_class,maghzaoui_lisa_i,maghzaoui_lisa_p,maghzaoui_lisa_sig,maghzaoui_gi_z,maghzaoui_gi_p,maghzaoui_gi_sig
TN1151,Carthage,Tunis,North East,2,0,3,84.8237,12.5625,2.6138,ns,4.976325,0.019900,0,-2.610119,0.019900,0,ns,5.414933,0.019100,0,2.677956,0.019100,0,ns,0.747091,0.074200,0,1.234200,0.074200,0
TN1152,Médina,Tunis,North East,4,0,3,84.8237,12.5625,2.6138,ns,0.805776,0.085800,0,-1.558369,0.085800,0,ns,0.856540,0.069700,0,1.642989,0.069700,0,ns,0.147042,0.498700,0,0.513690,0.498700,0
TN1153,Bab Bhar,Tunis,North East,9,0,3,84.8237,12.5625,2.6138,LL,2.440593,0.000200,1,-5.344584,0.000200,1,HH,2.476173,0.000200,1,5.623787,0.000200,1,ns,0.591135,0.041800,0,1.928011,0.041800,0
TN1154,Bab Souika,Tunis,North East,6,0,3,84.8237,12.5625,2.6138,ns,0.710798,0.045400,0,-1.970659,0.045400,0,ns,0.790506,0.040900,0,2.040564,0.040900,0,ns,0.086272,0.288400,0,0.846619,0.288400,0
TN1155,Omrane,Tunis,North East,6,0,3,84.8237,12.5625,2.6138,LL,1.201904,0.000100,1,-5.157213,0.000100,1,HH,1.271373,0.000100,1,5.337293,0.000100,1,ns,0.239428,0.025900,0,2.217699,0.025900,0
TN1156,Omrane Supérieur,Tunis,North East,6,0,3,84.8237,12.5625,2.6138,ns,0.737607,0.001900,0,-3.945155,0.001900,0,HH,0.903233,0.001400,1,4.154169,0.001400,1,ns,-0.003701,0.072800,0,1.358699,0.072800,0
TN1157,El Tahrir,Tunis,North East,4,0,3,84.8237,12.5625,2.6138,ns,0.729732,0.167100,0,-1.273562,0.167100,0,ns,0.845488,0.120100,0,1.393572,0.120100,0,ns,0.053863,0.715900,0,0.283912,0.715900,0
TN1158,El Menzah,Tunis,North East,6,0,5,59.7318,35.1268,5.1413,LL,11.013039,0.000300,1,-4.633689,0.000300,1,HH,11.932607,0.000300,1,4.872033,0.000300,1,ns,1.777592,0.039300,0,1.650158,0.039300,0
TN1159,Cité El Khadra,Tunis,North East,6,0,3,84.8237,12.5625,2.6138,LL,10.290723,0.000100,1,-7.817737,0.000100,1,HH,10.989684,0.000100,1,8.039147,0.000100,1,ns,1.867868,0.022300,0,3.542788,0.022300,0
TN1160,Bardo,Tunis,North East,8,0,3,84.8237,12.5625,2.6138,ns,1.100654,0.075800,0,-1.704247,0.075800,0,ns,1.209420,0.055200,0,1.872944,0.055200,0,ns,0.117960,0.683100,0,0.323394,0.683100,0
