annee,numero_jort,decret_no,decret_date,gouvernorat,delegation,dates_commission,nb_personnes,pdf
1965,047,65-448,27 août 1965,Tunis et Banlieue,Tunis et Ban Issue,16 — 17 — 17 avril 1905,43,https://lake.jort.tn/journal-officiel/fr/1965/047.pdf
1965,047,65-449,27 août 1965,Tunis et Banlieue,Tunis et Banlieue,"7 juin, 20 juin, 27 juin, 21 juillet, 14 août, 15 septembre, 22 septembre, 11 octobre, 7 décembre, 16 décembre, 19 décembre et 20 décembre 1960",66,https://lake.jort.tn/journal-officiel/fr/1965/047.pdf
1965,049,65-450,27 août 1965,Bizerte,Menzel Bourguiba,"23 septembre 1960, 13 septembre 1961",20,https://lake.jort.tn/journal-officiel/fr/1965/049.pdf
1965,049,65-451,27 août 1965,Bizerte,Menzel Bourguiba,20 septembre 1961,18,https://lake.jort.tn/journal-officiel/fr/1965/049.pdf
1965,049,65-452,27 septembre 1965,Bizerte,Menzel Bourguiba,,80,https://lake.jort.tn/journal-officiel/fr/1965/049.pdf
1965,049,65-453,27 août 1965,Bizerte,Menzel Bourguiba,20 septembre 1961,18,https://lake.jort.tn/journal-officiel/fr/1965/049.pdf
1965,049,65-454,31 août 1965,Bizerte,Menzel Bourguiba,8 juillet 1961 et 30 août 1964,106,https://lake.jort.tn/journal-officiel/fr/1965/049.pdf
1965,049,65-455,27 août 1965,Bizerte,Menzel Bourguiba,24 juin 1961 et 8 juillet 1961,53,https://lake.jort.tn/journal-officiel/fr/1965/049.pdf
1965,049,65-456,27 août 1965,Bizerte,Menzel Bourguiba,13 septembre 1961,15,https://lake.jort.tn/journal-officiel/fr/1965/049.pdf
1965,049,65-457,27 août 1965,Bizerte,Menzel Bourguiba,6 septembre 1961 et 13 septembre 1961,111,https://lake.jort.tn/journal-officiel/fr/1965/049.pdf
1965,049,65-458,27 août 1965,Bizerte,Menzel Bourguiba,30 août 1961 et 6 septembre 1961,132,https://lake.jort.tn/journal-officiel/fr/1965/049.pdf
1965,051,65-467,27 août 1965,Nabeul,Kélibia,"13, 16 et 30 mai, 10 juin, 7 et 21 juillet 1960",182,https://lake.jort.tn/journal-officiel/fr/1965/051.pdf
1965,051,65-468,27 août 1965,Nabeul,Kélibia,"26 et 30 mai, 10 juin, 7 et 14 juillet 1960",124,https://lake.jort.tn/journal-officiel/fr/1965/051.pdf
1965,052,65-471,27 septembre 1965,Nabeul,Menzel Temime,16 et 23 juillet 1960,262,https://lake.jort.tn/journal-officiel/fr/1965/052.pdf
1965,052,65-472,27 août 1965,Nabeul,Nabeul,"12 juillet, 1er, 3 et 5 août et 25 octobre 1960",77,https://lake.jort.tn/journal-officiel/fr/1965/052.pdf
1965,052,65-473,27 août 1965,Nabeul,Nabeul,30 juin et 11 juillet 1960,189,https://lake.jort.tn/journal-officiel/fr/1965/052.pdf
1965,052,65-474,27 août 1965,Nabeul,Nabeul,18 mai et 23 juin 1960,116,https://lake.jort.tn/journal-officiel/fr/1965/052.pdf
1965,053,65-476,27 août 1965,Nabeul,Korba,25 octobre 1962,94,https://lake.jort.tn/journal-officiel/fr/1965/053.pdf
1965,054,65-482,27 août 1965,Nabeul,Grombalia,"1er, 11, 12, 14, 15, 19, 20, 21 et 23 juillet 1960",72,https://lake.jort.tn/journal-officiel/fr/1965/054.pdf
