constituency,constituency_number,constituency_printed,voters,valid_votes,valid_votes_lists,spoilt_ballots,blank_ballots,ballots_accounted,ballot_identity_gap,lists_and_blank_gap,seats,quotient_printed,quotient_recomputed,lists_with_seats,description
تونس 1,1,تونس 1,176260,171193,168077,5067,3116,176260,0,0,9,18675.22,18675.22,5,الدائرة الانتخابية الأولى لولاية تونس
تونس 2,2,تونس 2,215389,211601,209428,3790,2173,215391,-2,0,8,26178.5,26178.5,3,الدائرة الانتخابية الثانية لولاية تونس
أريانة,3,أريانة,181779,178452,176054,3327,2398,181779,0,0,8,22006.75,22006.75,4,الدائرة الانتخابية الوحيدة لولاية أريانة
منوبة,4,منوبة,119448,115501,112912,3951,2589,119452,-4,0,7,16130.29,16130.29,4,الدائرة الانتخابية الوحيدة لولاية منوبة
بن عروس,5,ن عروس,223623,219336,216231,4287,3105,223623,0,0,10,21623.1,21623.1,5,الدائرة الانتخابية الوحيدة لولاية بن عروس
بنزرت,6,نزرت,164561,157984,154388,6577,3596,164561,0,0,9,17154.22,17154.22,4,الدائرة الانتخابية الوحيدة لولاية بنزرت
نابل 1,7,نابل 1,154388,150126,147680,4262,2446,154388,0,0,7,21097.14,21097.14,3,الدائرة الانتخابية الأولى لولاية نابل
نابل 2,8,نابل 2,124216,119545,117244,4708,2301,124253,-37,0,6,19540.67,19540.67,4,الدائرة الانتخابية الثانية لولاية نابل
زغوان,9,زغوان,55701,53252,51766,2449,1486,55701,0,0,5,10353.2,10353.2,4,الدائرة الانتخابية الوحيدة لولاية زغوان
باجة,10,باجة,86673,82166,79446,4507,2720,86673,0,0,6,13241,13241.0,4,الدائرة الانتخابية الوحيدة لولاية باجة
الكاف,11,الكاف,79043,74922,72421,4121,2501,79043,0,0,6,12070.16,12070.17,4,الدائرة الانتخابية الوحيدة لولاية الكاف
سليانة,12,سليانة,61873,58514,56758,3355,1756,61869,4,0,6,9459.67,9459.67,5,الدائرة الانتخابية الوحيدة لولاية سليانة
جندوبة,13,جندوبة,106637,100356,96656,6274,3700,106630,7,0,8,12082,12082.0,5,الدائرة الانتخابية الوحيدة لولاية جندوبة
القيروان,14,القيروان,132727,126649,123267,6078,3382,132727,0,0,9,13696.33,13696.33,5,الدائرة الانتخابية الوحيدة لولاية القيروان
سوسة,15,سوسة,217655,212745,209984,4910,2761,217655,0,0,10,20998.4,20998.4,4,الدائرة الانتخابية الوحيدة لولاية سوسة
المنستير,16,المنستير,188941,185502,183345,3439,2157,188941,0,0,9,20371.67,20371.67,4,الدائرة الانتخابية الوحيدة لولاية المنستير
المهدية,17,المهدية,117634,113251,110757,4383,2494,117634,0,0,8,13844.63,13844.63,4,الدائرة الانتخابية الوحيدة لولاية المهدية
القصرين,18,القصرين,112198,106849,104193,5349,2656,112198,0,0,8,13024.13,13024.13,5,الدائرة الانتخابية الوحيدة لولاية القصرين
سيدي بوزيد,19,سيدي بوزيد,118528,114096,110902,4432,3194,118528,0,0,8,13862.75,13862.75,6,الدائرة الانتخابية الوحيدة لولاية سيدي بوزيد
قفصة,20,قفصة,108756,106021,104056,2735,1965,108756,0,0,7,14865.14,14865.14,5,الدائرة الانتخابية الوحيدة لولاية قفصة
توزر,21,توزر,39177,38089,37232,1088,857,39177,0,0,4,9308,9308.0,4,الدائرة الانتخابية الوحيدة لولاية توزر
صفاقس 1,22,صفاقس 1,142166,138999,136987,3166,2012,142165,1,0,7,19569.57,19569.57,4,الدائرة الانتخابية الأولى لولاية صفاقس
صفاقس 2,23,صفاقس 2,190282,187084,184997,3197,2087,190281,1,0,9,20555.22,20555.22,4,الدائرة الانتخابية الثانية لولاية صفاقس
قابس,24,قابس,122219,118606,116008,3613,2598,122219,0,0,7,16572.57,16572.57,4,الدائرة الانتخابية الوحيدة لولاية قابس
مدنين,25,مدنين,130517,127104,125007,3413,2097,130517,0,0,9,13889.67,13889.67,5,الدائرة الانتخابية الوحيدة لولاية مدنين
تطاوين,26,تطاوين,36821,35617,34810,1204,807,36821,0,0,4,8702.5,8702.5,2,الدائرة الانتخابية الوحيدة لولاية تطاوين
قبلي,27,قبلي,58677,57005,55610,1672,1395,58677,0,0,5,11122,11122.0,4,الدائرة الانتخابية الوحيدة لولاية قبلي
فرنسا 1,28,فرنسا 1,39398,39233,39021,164,212,39397,1,0,5,7804.2,7804.2,3,الدائرة الانتخابية الأولى للتونسيين المقيمين بفرنسا والمسجلين بها
فرنسا 2,29,فرنسا 2,31469,31174,30852,295,322,31469,0,0,5,6170.4,6170.4,3,الدائرة الانتخابية الثانية للتونسيين المقيمين بفرنسا والمسجلين بها
إيطاليا,30,بإيطاليا,7211,7162,7115,49,47,7211,0,0,3,2371.67,2371.67,2,الدائرة الانتخابية الوحيدة للتونسيين المقيمين بإيطاليا والمسجلين بها
ألمانيا,31,بألمانيا,7452,7407,7358,45,49,7452,0,0,1,7358,7358.0,1,الدائرة الانتخابية الوحيدة للتونسيين المقيمين بألمانيا والمسجلين بها
القارة الأمريكية وبقية الدول الأوروبية,32,القارة الأمريكية وبقية الدول الأوروبية,15680,15648,15623,32,25,15680,0,0,2,7811.5,7811.5,2,الدائرة الانتخابية الوحيدة للتونسيين المقيمين بالقارة الأمريكية وبقية الدول الأوروبية والمسجلين بها
الدول العربية وباقي دول العالم,33,الدول العربية وبقية دول العالم,12158,12087,12022,71,65,12158,0,0,2,6011,6011.0,2,الدائرة الانتخابية الوحيدة للتونسيين المقيمين بالدول العربية وبقية دول العالم والمسجلين بها
