constituency,rank,rank_printed,rank_check,list_name,votes,votes_read,share_pct,share_recomputed,share_check,constituency_valid_votes,total_matches_sum,source_pages
تونس 1,1,1,agree,قائمة الجبهة,1011,,0.76,0.76,agree,132228,1,1 2
تونس 1,2,2,agree,قائمة حركة الشعب,3106,,2.35,2.35,agree,132228,1,1 2
تونس 1,3,3,agree,قائمة نبض تونس,1867,,1.41,1.41,agree,132228,1,1 2
تونس 1,4,4,agree,قائمة الحزب الدستوري الحر,8613,,6.51,6.51,agree,132228,1,1 2
تونس 1,5,5,agree,قائمة شباب الإصلاح,720,,0.54,0.54,agree,132228,1,1 2
تونس 1,6,6,agree,قائمة البديل التونسي,815,,0.62,0.62,agree,132228,1,1 2
تونس 1,7,7,agree,قائمة حزب تيّار المحبة,552,,,0.42,differ,132228,1,1 2
تونس 1,8,8,agree,قائمة أمل وعمل المستقلة,1397,,1.06,1.06,agree,132228,1,1 2
تونس 1,9,9,agree,قائمة حركة مشروع تونس,585,,0.44,0.44,agree,132228,1,1 2
تونس 1,10,10,agree,قائمة حزب المؤتمرمن أجل الجمهورية,657,,0.5,0.5,agree,132228,1,1 2
تونس 1,11,11,agree,قائمة بلادنا,1192,,0.9,0.9,agree,132228,1,1 2
تونس 1,12,12,agree,قائمة الطريق الصحيح,370,,0.28,0.28,agree,132228,1,1 2
تونس 1,13,13,agree,قائمة الخير,1414,,1.07,1.07,agree,132228,1,1 2
تونس 1,14,14,agree,قائمة آفاق تونس,1598,,1.21,1.21,agree,132228,1,1 2
تونس 1,15,15,agree,قائمة قلب تونس,20804,,15.73,15.73,agree,132228,1,1 2
تونس 1,16,16,agree,قائمة حزب الرّحمة,6784,,5.13,5.13,agree,132228,1,1 2
تونس 1,17,17,agree,قائمة الحزب الاشتراكي الدستوري,1405,,1.06,1.06,agree,132228,1,1 2
تونس 1,18,18,agree,قائمة اتتلاف الكرامة,9898,,7.49,7.49,agree,132228,1,1 2
تونس 1,19,19,agree,قائمة صوت الفلاحين,625,,0.47,0.47,agree,132228,1,1 2
تونس 1,20,20,agree,قائمة حزب التكتل,355,,0.27,0.27,agree,132228,1,1 2
تونس 1,21,21,agree,قائمة تونس أخرى,691,,0.52,0.52,agree,132228,1,1 2
تونس 1,22,22,agree,قائمة الاتحاد الديمقراطي الاجتماعي,1837,,1.39,1.39,agree,132228,1,1 2
تونس 1,23,23,agree,قائمة حركة الهضة بتونس 1,29662,,22.43,22.43,agree,132228,1,1 2
تونس 1,24,24,agree,قائمة حزب الخضر للتقدم,234,,0.18,0.18,agree,132228,1,1 2
تونس 1,25,25,agree,قائمة كلنا للوطن,410,,0.31,0.31,agree,132228,1,1 2
تونس 1,26,26,agree,قائمة الاتحاد الشعبي الجمهبوري,3043,,2.3,2.3,agree,132228,1,1 2
تونس 1,27,27,agree,قائمة الرابطة الخضراء,289,,0.22,0.22,agree,132228,1,1 2
تونس 1,28,28,agree,قائمة بني وطني,342,,0.26,0.26,agree,132228,1,1 2
تونس 1,29,29,agree,,1284,,0.97,0.97,agree,132228,1,1 2
تونس 1,30,30,agree,قائمة مواطنون و نشارك,898,,0.68,0.68,agree,132228,1,1 2
تونس 1,31,31,agree,قائمة من أجل تأسيس جديد,849,,0.64,0.64,agree,132228,1,1 2
تونس 1,32,32,agree,قائمة تونس في العلالي,273,,0.21,0.21,agree,132228,1,1 2
تونس 1,33,33,agree,قائمة عيش تونبي,3195,,2.42,2.42,agree,132228,1,1 2
تونس 1,34,34,agree,قائمة حزب الأمل,356,,0.27,0.27,agree,132228,1,1 2
تونس 1,35,35,agree,قائمة التيار الديمقراطي,14505,,10.97,10.97,agree,132228,1,1 2
تونس 1,36,36,agree,قائمة المستقلون الديمقراطيون,217,,0.16,0.16,agree,132228,1,1 2
تونس 1,37,37,agree,قائمة الوطن الجديد,587,,0.44,0.44,agree,132228,1,1 2
