rank,list_name,seats,name_scrambled
1,حزب حركة النهضة,52,0
2,حزب قلب تونس,38,0
3,حزب التيار الديمقراطي,22,0
4,ائتالف الكرامة,21,0
5,الحزب الدستوري الحر,17,0
6,حزب حركة الشعب,15,0
7,حزب حركة تحيا تونس,14,0
8,حزب حركة مشروع تونس,4,0
9,حزب الرحمة,4,0
10,حزب االتحاد الشعبي الجمهوري,3,0
11,حزب البديل التونسي,3,0
12,حزب حركة نداء تونس,3,0
13,حزب آفاق تونس,2,0
14,أمل وعمل املستقل ّ ة,2,1
15,حزب االتحاد الديمقراطي االجتماعي,1,0
16,القائمة املستقل ّ ة االمتياز,1,1
17,حزب الجبهة الشعبية,1,0
18,الحزب االشتراكي الدستوري,1,0
19,قائمة الخير,1,0
20,قائمة الرابطة الخضراء,1,0
21,قائمة الرجوع إلى األصل,1,0
22,قائمة الشباب املستقل,1,0
23,قائمة املواطنة والتنمية,1,0
24,قائمة الوفاء بالعهد,1,0
25,قائمة بذل وعطاء,1,0
26,قائمة بكلنا توانسه,1,0
27,حزب تيار املحبة,1,0
28,قائمة سليانة في عينينا,1,0
29,حزب صوت ينحلافلا,1,0
30,ائتالف عيش تونسي,1,0
31,قائمة نحن هنا,1,0
