governorate_ar,constituency_ar,delegation_ar,imada_ar,centre_name_ar,centre_name_fr,ussd_code,governorate,source_page
تونس,تونس 1,الحرائرية,الحرائرية,م إبتدائية 2مارس 43 الحرايرية 4 - الحرائرية,E.P.2 MARS 34 HRAIRIA 4 -HRAIRIA,1001,تونس,1
تونس,تونس 1,الحرائرية,الحرائرية,م إبتدائية الحرايرية 3 - الحرائرية,E.P.HRAIRIA 3 -HRAIRIA,1002,تونس,1
تونس,تونس 1,الحرائرية,الحرائرية,م إبتدائية ح الزهور 4 الممتد - الحرائرية,E.P.ZOUHOUR 4 PROLONGEE HRAIRIA,1003,تونس,1
تونس,تونس 1,الحرائرية,الزهرون,م إبتدائية 81جانف الحرايرية - الزهرون,E.P.18 JANVIER HRAIRIA EZZAHROUNI,1004,تونس,1
تونس,تونس 1,الحرائرية,الزهرون,م إبتدائية الزهرون,E.P.EZZAHROUNI,1005,تونس,1
تونس,تونس 1,الحرائرية,الزهرون,م إبتدائية ح السلامة - الزهرون,E.P.CITE ESSALAMA EZZAHROUNI,1006,تونس,1
تونس,تونس 1,الحرائرية,الزهور الخامس,م إبتدائية ح الزهور 5/1 - الزهور الخامس,E.P.ZOUHOUR 5-1 -EZZOUHOUR 5,1007,تونس,1
تونس,تونس 1,الحرائرية,الزهور الخامس,م إبتدائية ح الزهور 5 / 2 - الزهور الخامس,E.P.CITE ZOUHOUR 5-2  -EZZOUHOUR 5,1008,تونس,1
تونس,تونس 1,الحرائرية,الزهور الخامس,م إبتدائية ح الزهور 5 الممتد 1 - الزهور الخامس,E.P.ZOUHOUR 5 PROLONGEE 1  -EZZOUHOUR 5,1009,تونس,1
تونس,تونس 1,الحرائرية,الزهور الخامس,م إبتدائية ح الزهور 5 الممتد 2 - الزهور الخامس,E.P. ALMOUMTAD2 EZZOUHOUR 5,1010,تونس,1
تونس,تونس 1,الحرائرية,الزهور الخامس,م إبتدائية عقبة ابن نافع 1 - الزهور الخامس,E.P.OKBA IBN NAFAA 1  -EZZOUHOUR 5,1011,تونس,1
تونس,تونس 1,الحرائرية,الزهور الخامس,م إبتدائية عقبة ابن نافع 2 الزهور - الزهور الخامس,E.P.OKBA IBN NAFAA 2 - EZZOUHOUR 5,1012,تونس,1
تونس,تونس 1,الحرائرية,العقبة,م إبتدائية المشتل 1 - العقبة,E.P.MECHTEL 1 -EL AGBA,1013,تونس,1
تونس,تونس 1,الحرائرية,العقبة,م إبتدائية المشتل 2 - العقبة,E.P.MECHTEL 2 - EL AGBA,1014,تونس,1
تونس,تونس 1,الحرائرية,العقبة العليا,م إبتدائية ح الصحة الحرايرية - العقبة العليا,E.P.CITE ESSAHA HRAIRIA - AGBA SUP,1015,تونس,1
تونس,تونس 1,الحرائرية,العنتيت,م إبتدائية ح العنتيت,E.P.CITE EL ANTIT,1016,تونس,1
تونس,تونس 1,الحرائرية,الفلة,م إبتدائية ح الفلة,E.P.CITE FOLLA,1017,تونس,1
تونس,تونس 1,الحرائرية,طارق بن زياد,م إبتدائية ح بوزيان الزهور - طارق بن زياد,E.P.C. BOUZAIEN EZZOUHOUR -TAREK IBN ZIED,1018,تونس,1
تونس,تونس 1,الحرائرية,غدير القلة,م إبتدائية غدير القلة,E.P.GHEDIR EL GOLLA,1019,تونس,1
تونس,تونس 1,الزهور - تونس,الزهور,م إبتدائية ح الزهور 1 نهج الاكليل - الزهور,E.P.RUE ROMARIN CITE EZZOUHOUR 1 - EZZOUHOUR,1020,تونس,1
تونس,تونس 1,الزهور - تونس,الزهور الرابع,م إبتدائية ح الزهور 4 نهج 0024 - الزهور الرابع,E.P.ZOUHOUR 4 RUE 4200 -EZZOUHOUR 4,1021,تونس,1
تونس,تونس 1,الزهور - تونس,السعادة,م إبتدائية العمارية نهج 7514 - السعادة,E.P.AMMARIA RUE 4157 - ESAADA,1022,تونس,1
تونس,تونس 1,الزهور - تونس,السمران,م إبتدائية السمران نهج 7314,E.P.SOMRANE RUE 4137,1023,تونس,1
تونس,تونس 1,الزهور - تونس,باش حانبة,م إبتدائية باش حامبة2 - باش حانبة,E.P.BACH HAMBA 2,1024,تونس,1
تونس,تونس 1,الزهور - تونس,باش حانبة,م إبتدائية ح بن سديرة - باش حانبة,E.P.CITE BEN SDIRA BACH HAMBA,1025,تونس,1
