procedure,reference_number,reference_year,year_published,month_published,language,title_from_filename,title_from_ocr,source_file,drive_id,source_url
cahier des charges,,,2020,10,fr,CC CONSOMABLES INFORMATIQUES 2020,,CC-CONSOMABLES-INFORMATIQUES-2020.pdf,19jNsDze1-rqXCjPxsgAA4q8_fNKdNJVY,https://drive.google.com/uc?export=download&id=19jNsDze1-rqXCjPxsgAA4q8_fNKdNJVY
cahier des charges,,,2020,10,fr,CC NETTOYAGE ET DESINFECTION 2020,,CC-NETTOYAGE-ET-DESINFECTION-2020.pdf,1ivwukLpvMVccv8Z6yVZouSYvbhuD7Jbs,https://drive.google.com/uc?export=download&id=1ivwukLpvMVccv8Z6yVZouSYvbhuD7Jbs
cahier des charges,,,2020,12,fr,CC Hebergement Site ISIE,,CC-Hebergement-Site-ISIE.pdf,143OVw_BKGBeenscC73cdmf6UMbJFrub-,https://drive.google.com/uc?export=download&id=143OVw_BKGBeenscC73cdmf6UMbJFrub-
cahier des charges,,,2020,12,fr,CCAP,,CCAP.pdf,1lIyx5qtGWru2aXhZxDt2Rghn3aipeMtR,https://drive.google.com/uc?export=download&id=1lIyx5qtGWru2aXhZxDt2Rghn3aipeMtR
cahier des charges,1,2021,2021,01,fr,CC 1 2021 FR,,CC-1-2021-FR.pdf,1AW9UlVS8hOAGsJHOoXxnn4TGYMuiowlp,https://drive.google.com/uc?export=download&id=1AW9UlVS8hOAGsJHOoXxnn4TGYMuiowlp
appel d'offres simplifié,2,2021,2021,03,fr,CC AOS 2 2021 Inventaire ISIE,,CC-AOS-2-2021-Inventaire-ISIE.pdf,1zs08bJlW0ocBiolYJLgPu3pQeHNYZboh,https://drive.google.com/uc?export=download&id=1zs08bJlW0ocBiolYJLgPu3pQeHNYZboh
appel d'offres simplifié,3,2021,2021,04,fr,CC AOS 3 2021 compressé,,CC-AOS-3-2021-compressé.pdf,11jgSoSRMW3n1wCt-IgDXNv8WamBxHTyW,https://drive.google.com/uc?export=download&id=11jgSoSRMW3n1wCt-IgDXNv8WamBxHTyW
cahier des charges,12,2021,2021,08,fr,CC C 12 2021 FR,,CC-C-12-2021-FR.pdf,1Vy3CMy9D3pSJ_9dGAzTBMU6YDJfdpwzq,https://drive.google.com/uc?export=download&id=1Vy3CMy9D3pSJ_9dGAzTBMU6YDJfdpwzq
cahier des charges,,,2021,09,mixed,كراس الشروط إعلان تفويت,,كراس-الشروط-إعلان-تفويت.pdf,1vgRw0u7TonQo1jVBYgjzakQdGJNryWo5,https://drive.google.com/uc?export=download&id=1vgRw0u7TonQo1jVBYgjzakQdGJNryWo5
appel d'offres,5,2021,2021,10,fr,CAO. AO 5 2021 compressé,,CAO.-AO-5-2021-compressé.pdf,17HC4yJQBchKX7tfjIr8XBlDc-XWMfdkz,https://drive.google.com/uc?export=download&id=17HC4yJQBchKX7tfjIr8XBlDc-XWMfdkz
appel d'offres,1,2022,2022,05,fr,CC AO 1 2022,,CC-AO-1-2022.pdf,1GBEx2hL8WpP_UnfuZ3JJtPc03pFonkU5,https://drive.google.com/uc?export=download&id=1GBEx2hL8WpP_UnfuZ3JJtPc03pFonkU5
appel d'offres,02,2022,2022,06,fr,CC AO 02 2022,,CC-AO-02-2022.pdf,1DkpaChUDN0Sl1X1P5wRFJqu5Hr0mMuap,https://drive.google.com/uc?export=download&id=1DkpaChUDN0Sl1X1P5wRFJqu5Hr0mMuap
appel d'offres simplifié,7,2022,2022,06,fr,CC AOS 7 2022 FR,,CC-AOS-7-2022-FR.pdf,1f-N_MEG6_dKIAf7tELNDQcCdNJB77N1Y,https://drive.google.com/uc?export=download&id=1f-N_MEG6_dKIAf7tELNDQcCdNJB77N1Y
cahier des charges,,,2022,06,ar,CC BUREAUTIQUE 2022 AR,,CC-BUREAUTIQUE-2022-AR.pdf,1DoF0XyghEwB2zaL9Ixj8H77DuP1nP7EG,https://drive.google.com/uc?export=download&id=1DoF0XyghEwB2zaL9Ixj8H77DuP1nP7EG
consultation,7,2022,2022,06,fr,CC Consultation n 7 2022,,CC-Consultation-n-7-2022.pdf,1oHCOi19wgMaDyG18wDEBXl64Ku70c2zJ,https://drive.google.com/uc?export=download&id=1oHCOi19wgMaDyG18wDEBXl64Ku70c2zJ
cahier des charges,,,2022,06,fr,CC Media Center 2022,,CC-Media-Center-2022.pdf,1k51X5IyNhcxNEAouNCR-Tbgl-P-f4y44,https://drive.google.com/uc?export=download&id=1k51X5IyNhcxNEAouNCR-Tbgl-P-f4y44
cahier des charges,,,2022,06,fr,Cahier des charges centre dappel ISIE 2022,,Cahier-des-charges-centre-dappel-ISIE-2022.pdf,1PneNlSNzDYALOQBR99CCwTc-sB3gz95s,https://drive.google.com/uc?export=download&id=1PneNlSNzDYALOQBR99CCwTc-sB3gz95s
appel d'offres simplifié,10,2022,2022,07,fr,CC AOS 10 2022,,CC-AOS-10-2022.pdf,1bXCisKT-ibdNcAKvk8g6rKezQtV3RbZV,https://drive.google.com/uc?export=download&id=1bXCisKT-ibdNcAKvk8g6rKezQtV3RbZV
appel d'offres simplifié,11,2022,2022,07,fr,CC AOS 11 2022 FR,,CC-AOS-11-2022-FR.pdf,1gMpdaaMXrNMNhprQPJjo3F3qZcw3LtBM,https://drive.google.com/uc?export=download&id=1gMpdaaMXrNMNhprQPJjo3F3qZcw3LtBM
appel d'offres simplifié,8,2022,2022,07,fr,CC AOS 8 2022,,CC-AOS-8-2022.pdf,1vLj0Sb2DrD7o64kMZqZk35W5aTb2O0Y9,https://drive.google.com/uc?export=download&id=1vLj0Sb2DrD7o64kMZqZk35W5aTb2O0Y9
appel d'offres simplifié,9,2022,2022,07,fr,CC AOS 9 2022,,CC-AOS-9-2022.pdf,174SReKe9GmE4VP-bQlTCvCTiN4rE7KAK,https://drive.google.com/uc?export=download&id=174SReKe9GmE4VP-bQlTCvCTiN4rE7KAK
appel d'offres,14,2022,2022,10,fr,CAO AO 14 2022,,CAO-AO-14-2022.pdf,1D5PaVhsjICrmxJG9FqvKC_GGvJ_B6rBS,https://drive.google.com/uc?export=download&id=1D5PaVhsjICrmxJG9FqvKC_GGvJ_B6rBS
appel d'offres,16,2022,2022,10,fr,CAO AO 16 2022,,CAO-AO-16-2022.pdf,1AmygaOJ__P_IFNfGV2ecUNsjzzxRr-4a,https://drive.google.com/uc?export=download&id=1AmygaOJ__P_IFNfGV2ecUNsjzzxRr-4a
appel d'offres,15,2022,2022,10,fr,CC AO 15 2022,,CC-AO-15-2022.pdf,1i1_td9W_ATfkFMhsj_Ey-GGMFIg-IJsh,https://drive.google.com/uc?export=download&id=1i1_td9W_ATfkFMhsj_Ey-GGMFIg-IJsh
appel d'offres,14,2022,2022,10,fr,CCAP AO 14 2022,,CCAP-AO-14-2022.pdf,1Nk0UjFvpDbLVU_U1E9_q1ZQmz3hhi2af,https://drive.google.com/uc?export=download&id=1Nk0UjFvpDbLVU_U1E9_q1ZQmz3hhi2af
