doc_type,reference_number,reference_year,year_published,month_published,language,title_from_filename,title_from_ocr,source_file,drive_id,source_url
decision,7,2018,2018,02,mixed,القرار عدد 7 لسنة 2018,‏بعد الاطلاع على الدستوز وخاصّة الفصلين 125 1269 منه.,القرار-عدد-7-لسنة-2018.pdf,1gcdnjw69XX9f1ZGfKH3irSIyFz8vkpsq,https://drive.google.com/uc?export=download&id=1gcdnjw69XX9f1ZGfKH3irSIyFz8vkpsq
decision,8,2018,2018,02,mixed,القرار عدد 8 لسنة 2018,والشروط التي يتعيّن على وسائل الإعلام التقيّد ‎Le‏ خلال الحملة الانتخابية وحملة الاستفتاء.,القرار-عدد-8-لسنة-2018.pdf,1uJvLad24bsfL9m2VUCTrFXmFP1-VMZy4,https://drive.google.com/uc?export=download&id=1uJvLad24bsfL9m2VUCTrFXmFP1-VMZy4
decision,,,2018,02,mixed,قرار مشترك بين الهيئة العليا المستقلة للانتخابات والهيئة العليا المستقلة للاتصال السمعي والبصري,يتعلق بضبط القواعد الخاصة بتغطية الحملة الانتخابية البلدية والجبوبة بوسائل الإعلام والاتصال السمعي,قرار-مشترك-بين-الهيئة-العليا-المستقلّة-للانتخابات-والهيئة-العليا-المستقلّة-للاتّصال-السمعي-والبصري.pdf,1DZKbnR94s4qL1SbCg0OO1Au0Ik3t5W6R,https://drive.google.com/uc?export=download&id=1DZKbnR94s4qL1SbCg0OO1Au0Ik3t5W6R
campaign_finance,,,2020,03,mixed,دليل تمويل الحملة للانتخابات البلدية الجزئية الفوار حاسي الفريد جبنيانة,,دليل-تمويل-الحملة-للانتخابات-البلديّة-الجزئيّة-الفوّار-حاسي-الفريد-جبنيانة.pdf,1Z36wxExRZIUKxslS5Iwpr6yhLdNXor-e,https://drive.google.com/uc?export=download&id=1Z36wxExRZIUKxslS5Iwpr6yhLdNXor-e
guide,,,2020,08,mixed,دليل الاقتراع و الفرز أوت 2020,الانتخابات البلدية الجزئية,دليل الاقتراع و الفرز أوت 2020.pdf,1454pCYnkXpYhdNuS9XU4CGB0VWczMhP2,https://drive.google.com/uc?export=download&id=1454pCYnkXpYhdNuS9XU4CGB0VWczMhP2
other,,,2020,08,mixed,زاوية قنطش,قائمة اعضاء مكاتب الاقتراع المقبولين نهائيا,زاوية قنطش.pdf,1bdoCjYetkdZn3J1YEorCBDyAPBDvW8Rp,https://drive.google.com/uc?export=download&id=1bdoCjYetkdZn3J1YEorCBDyAPBDvW8Rp
other,,,2020,08,mixed,فوسانة,قائمة اعضاء مكاتب الاقتراع المقبولين نهائيا,فوسانة .pdf,1NKPSSpiaAuvlyS_Phh9XxtnVlwvQ2tMw,https://drive.google.com/uc?export=download&id=1NKPSSpiaAuvlyS_Phh9XxtnVlwvQ2tMw
polling_geography,,,2020,08,mixed,قائمة اعضاء مكاتب الاقتراع اوت 2020,قائمة اعضاء مكاتب الاقتراع المقبولين أوليا,قائمة اعضاء مكاتب الاقتراع  اوت 2020.pdf,1yNffNYddOl38ZpOUYVTxssDPq65xDCXN,https://drive.google.com/uc?export=download&id=1yNffNYddOl38ZpOUYVTxssDPq65xDCXN
other,,,2020,08,mixed,قربة,قائمة اعضاء مكاتب الاقتراع المقبولين نهائيا,قربة.pdf,1P9pd2OEVwdzftWRveTzM8KRBa7IxTqMA,https://drive.google.com/uc?export=download&id=1P9pd2OEVwdzftWRveTzM8KRBa7IxTqMA
guide,,,2020,10,mixed,2P دليل الترشحات للانتخابات البلدية الجزئية كندار منزل بوزيان,,2P-دليل-الترشحات-للانتخابات-البلدية-الجزئية-كندار-منزل-بوزيان.pdf,1NCj7pxlmsbzjqsp2Dmj45knyUhs68VhE,https://drive.google.com/uc?export=download&id=1NCj7pxlmsbzjqsp2Dmj45knyUhs68VhE
decision,30,2020,2020,10,mixed,القرار عدد 30 لسنة 2020,القرار عدد 6 لسنة 2014 المؤرّخ في 30 أفريل 2014 المتعلّق بضبط طرق التنظيم الاداري والمالي والفني للبيئة,القرار-عدد-30-لسنة-2020.pdf,1JLtykpArFaB_iXnA8WzuGt--_ZzdUZP0,https://drive.google.com/uc?export=download&id=1JLtykpArFaB_iXnA8WzuGt--_ZzdUZP0
decision,31,2020,2020,10,mixed,القرار عدد 31 لسنة 2020,شروط إسناد الخطط الوظيفيّة والإعفاء منها والمنح والامتيازات المستحقّة بموجها.,القرار-عدد-31-لسنة-2020.pdf,1e7o3swMoeXmIwN95JqEgzufFWcQ8pLp4,https://drive.google.com/uc?export=download&id=1e7o3swMoeXmIwN95JqEgzufFWcQ8pLp4
guide,,,2020,10,mixed,دليل الترشحات للانتخابات البلدية الجزئية كندار منزل بوزيان,,دليل-الترشحات-للانتخابات-البلدية-الجزئية-كندار-منزل-بوزيان.pdf,18RhDcYpZw6CdxqGIWBceuDdUqr6NqRII,https://drive.google.com/uc?export=download&id=18RhDcYpZw6CdxqGIWBceuDdUqr6NqRII
decision,,,2020,12,mixed,20140114502 قرار تصحيح,المكتب المركزي للدائرة الانتخابيّة,20140114502-قرار-تصحيح.pdf,1qi0yh9yoVLdwoXXNrfqf0vYVpg4V7KY5,https://drive.google.com/uc?export=download&id=1qi0yh9yoVLdwoXXNrfqf0vYVpg4V7KY5
guide,,,2021,03,mixed,دليل الترشحات ساقية الداير وعين الصبح الناظور 2021,,دليل-الترشحات-ساقية-الداير-وعين-الصبح-الناظور-2021.pdf,1fB0LVQZQjqW6PfcFMPNQjjkJf33M7ns1,https://drive.google.com/uc?export=download&id=1fB0LVQZQjqW6PfcFMPNQjjkJf33M7ns1
guide,,,2021,04,mixed,دليل الترشحات الصخيرة 2021,,دليل-الترشحات-الصخيرة-2021.pdf,1DoGIhKf9zcjI-UN2l3kn21aPxJ0uBoFU,https://drive.google.com/uc?export=download&id=1DoGIhKf9zcjI-UN2l3kn21aPxJ0uBoFU
campaign_finance,,,2021,05,mixed,دليل تمويل الحملة الانتخابية للانتخابات البلدية الجزئية,- دليل القائمات المترشحة -,دليل-تمويل-الحملة-الانتخابية-للانتخابات-البلدية-الجزئية.pdf,1THS1wjBNfi_2N4DVxl87X45_cOM9C1Jj,https://drive.google.com/uc?export=download&id=1THS1wjBNfi_2N4DVxl87X45_cOM9C1Jj
guide,,,2021,05,mixed,دليل قواعد وإجراءات الحملة الانتخابية المتعلق بالانتخابات البلدية,,دليل-قواعد-وإجراءات-الحملة-الانتخابيّة-المتعلق-بالانتخابات-البلديّة.pdf,144jSvmmosKevCwhE_RQyBqXER2XKwJlP,https://drive.google.com/uc?export=download&id=144jSvmmosKevCwhE_RQyBqXER2XKwJlP
guide,,,2021,05,mixed,ملحق دليل الصخيرة,,ملحق-دليل-الصخيرة.pdf,10vON-dtPvqgIJ78z3-v6QrUQ8qxMDXsa,https://drive.google.com/uc?export=download&id=10vON-dtPvqgIJ78z3-v6QrUQ8qxMDXsa
guide,,,2021,05,mixed,ملحق دليل ساقية الداير عين الصبح الناظور,- ساقية الداير وعين الصبح الناظور -,ملحق-دليل-ساقية-الداير-عين-الصبح-الناظور.pdf,1D50qtaQa6vlZFRJDvIoVBxEU8er5few5,https://drive.google.com/uc?export=download&id=1D50qtaQa6vlZFRJDvIoVBxEU8er5few5
decision,12,2021,2021,06,fr,Décision n° 2021 12,n° 2021-12 du 21 juin 2021 relative à la proclamation des résultats,Décision-n°-2021-12.pdf,1P0GyTfHFriH6Vd5lf5wKWtbrlqBQkqfy,https://drive.google.com/uc?export=download&id=1P0GyTfHFriH6Vd5lf5wKWtbrlqBQkqfy
guide,,,2021,06,mixed,Guide2021 منزل كامل السبيخة,,Guide2021-_منزل-كامل-السبيخة.pdf,1zVBA2PnKL4lpQXr6STYcCd1CksWMLTm2,https://drive.google.com/uc?export=download&id=1zVBA2PnKL4lpQXr6STYcCd1CksWMLTm2
results,,,2021,06,fr,Résultats Préliminaires Skhira 2021,15 juin 2021 relative à la proclamation des résultats préliminaires des,Résultats-Préliminaires-Skhira-2021.pdf,1HK3OmVtxkU7anxPjrpyrxPw2VYLC7mIF,https://drive.google.com/uc?export=download&id=1HK3OmVtxkU7anxPjrpyrxPw2VYLC7mIF
campaign_finance,,,2021,07,mixed,دليل تمويل الحملة الانتخابية منزل كامل,- دليل القائمات المترشحة -,دليل-تمويل-الحملة-الانتخابية-منزل-كامل.pdf,1mPSmyRCrzv8covLHnc8I3pd9k81ecxB8,https://drive.google.com/uc?export=download&id=1mPSmyRCrzv8covLHnc8I3pd9k81ecxB8
guide,,,2021,07,mixed,دليل قواعد وإجراءات الحملة الانتخابية منزل كامل,,دليل-قواعد-وإجراءات-الحملة-الانتخابية-منزل-كامل.pdf,1C666PkpOid_yDmrVN6UPvvM39NrilVAp,https://drive.google.com/uc?export=download&id=1C666PkpOid_yDmrVN6UPvvM39NrilVAp
campaign_finance,,,2021,07,mixed,ملحق دليل تمويل الحملة المتعلق بالانتخابات البلدية الجزئية لسنة 2021 ببلدية منزل كامل,,ملحق-دليل-تمويل-الحملة-المتعلق-بالانتخابات-البلديّة-الجزئيّة-لسنة-2021-ببلديّة-منزل-كامل.pdf,1aVJUTUEcALMFqheonqsEIgYwvhB5qkgN,https://drive.google.com/uc?export=download&id=1aVJUTUEcALMFqheonqsEIgYwvhB5qkgN
