governorate_ar,constituency_ar,imada_ar,adm4_pcode,adm4_name_ar,adm4_name,adm3_pcode,delegation_name,governorate_name,lat,lon,area_sqkm,registry_voters,match_score,match_method,match_scope
أريانة,أريانة المدينة,أريانة الجديدة,TN125151,اريانة الجديدة,La Nouvelle Ariana,TN1251,Ariana Médina,Ariana,36.85376897,10.18236318,0.535224,5209,1.0000,scoped,constituency
أريانة,أريانة المدينة,أريانة العليا,TN125152,أريانة العليا,Ariana Superieur,TN1251,Ariana Médina,Ariana,36.87339252,10.16711195,6.202261,16430,1.0000,scoped,constituency
أريانة,أريانة المدينة,أريانة المدينة,TN125153,اريانة المدينة,L'Ariana Ville,TN1251,Ariana Médina,Ariana,36.86879905,10.18448870,0.889464,10593,1.0000,scoped,constituency
أريانة,أريانة المدينة,التعمير,TN125156,التعمير,Etaamir,TN1251,Ariana Médina,Ariana,36.86687855,10.19242055,1.139266,7805,1.0000,scoped,constituency
أريانة,أريانة المدينة,المنزه الخامس,TN125154,المنزه الخامس,El Menzah V,TN1251,Ariana Médina,Ariana,36.84802069,10.17592466,1.351132,8318,1.0000,scoped,constituency
أريانة,أريانة المدينة,المنزه السادس,TN125155,المنزه السادس,El Menzah VI,TN1251,Ariana Médina,Ariana,36.84837817,10.16339437,0.836472,10524,1.0000,scoped,constituency
أريانة,أريانة المدينة,النصر 1,TN125158,النصر 1,Ennasr 1,TN1251,Ariana Médina,Ariana,36.85924518,10.17001653,2.221725,9874,1.0000,scoped,constituency
أريانة,أريانة المدينة,النصر 2,TN125159,النصر 2,Ennasr 2,TN1251,Ariana Médina,Ariana,36.86587929,10.15528512,3.888443,21598,1.0000,scoped,constituency
أريانة,أريانة المدينة,الياسمينة,TN125157,الياسمينة,El Yasmina,TN1251,Ariana Médina,Ariana,36.85363432,10.19406671,1.323836,18421,1.0000,scoped,constituency
أريانة,المنيهلة,15 أكتوبر,TN125755,15أكتوبر,15 Octobre,TN1257,Mnihla,Ariana,36.85660943,10.09115066,3.112211,4567,1.0000,scoped,constituency
أريانة,المنيهلة,البساتين,TN125754,البساتين,El-Bassatine,TN1257,Mnihla,Ariana,36.84568768,10.10101022,0.949587,11410,1.0000,scoped,constituency
أريانة,المنيهلة,الرفاهة,TN125752,الرفاهة,Errafaha,TN1257,Mnihla,Ariana,36.86663215,10.12920635,10.047668,12830,1.0000,scoped,constituency
أريانة,المنيهلة,المنيهلة,TN125751,المنيهلة,El Mnihla,TN1257,Mnihla,Ariana,36.86741030,10.09970448,8.892346,11396,1.0000,scoped,constituency
أريانة,المنيهلة,النصر,TN125753,النصر,En-Nasr,TN1257,Mnihla,Ariana,36.84218631,10.11189315,0.567690,20755,1.0000,scoped,constituency
أريانة,حي التضامن,18جانفي,TN125654,18جانفي,18 Janvier,TN1256,Ettadhamen,Ariana,36.83150334,10.10299281,0.472002,21700,1.0000,scoped,constituency
أريانة,حي التضامن,2مارس,TN125655,20مارس,20 Mars,TN1256,Ettadhamen,Ariana,36.83760460,10.10128182,0.366136,6660,0.9091,scoped,constituency
أريانة,حي التضامن,ابن خلدون,TN125652,ابن خلدون,Ibn Khaldoun,TN1256,Ettadhamen,Ariana,36.83692012,10.11224653,0.243341,680,1.0000,scoped,constituency
أريانة,حي التضامن,ابو القاسم الشابي,TN125658,ابو القاسم الشابي,Abulkassem Ech-Chebbi,TN1256,Ettadhamen,Ariana,36.83872158,10.10785871,0.278062,1743,1.0000,scoped,constituency
أريانة,حي التضامن,التضامن 4,TN125651,حي التضامن,Cite Ettadhamen,TN1256,Ettadhamen,Ariana,36.83262089,10.11310238,0.454671,4964,0.8235,near,constituency
أريانة,حي التضامن,المنجي سليم,TN125656,منجي سليم,Mongi Slim,TN1256,Ettadhamen,Ariana,36.84081907,10.09802486,0.184212,4578,0.9000,scoped,constituency
أريانة,حي التضامن,حي التضامن,TN125651,حي التضامن,Cite Ettadhamen,TN1256,Ettadhamen,Ariana,36.83262089,10.11310238,0.454671,17225,1.0000,scoped,constituency
أريانة,حي التضامن,خير الدين باشا,TN125659,خير الدين باشا,Khaireddine Pacha,TN1256,Ettadhamen,Ariana,36.84217024,10.10421142,0.213810,981,1.0000,scoped,constituency
أريانة,روّاد 1,جعفر,TN125351,جعفر,Jaafer,TN1253,Raoued,Ariana,36.91682335,10.18253604,2.477105,16129,1.0000,scoped,constituency
أريانة,روّاد 1,رواد,TN125355,روّاد,Raoued,TN1253,Raoued,Ariana,36.96013903,10.20523359,14.437187,11726,1.0000,scoped,constituency
أريانة,روّاد 1,سيدي عمر بوخطيوة,TN125357,سيدي عمر بوخطيوة,Sidi Amor Bou Khtioua,TN1253,Raoued,Ariana,36.94026433,10.17356400,9.645599,8716,1.0000,scoped,constituency
أريانة,روّاد 2,الغزالة,TN125354,الغزالة,El Ghazala,TN1253,Raoued,Ariana,36.88258552,10.17916892,1.223273,13624,1.0000,scoped,constituency
أريانة,روّاد 2,المدينة الفاضلة,TN125353,المدينة الفاضلة,El Medina El Fadhila,TN1253,Raoued,Ariana,36.89758175,10.16401146,6.569129,6815,1.0000,scoped,constituency
أريانة,روّاد 2,النخيلات,TN125352,النخيلات,Enkhilet,TN1253,Raoued,Ariana,36.89268659,10.19604731,4.050133,13867,1.0000,scoped,constituency
أريانة,روّاد 2,برج الطويل,TN125356,برج الطويل,Bourj Ettouil,TN1253,Raoued,Ariana,36.92307769,10.13944987,17.790158,8136,1.0000,scoped,constituency
أريانة,سكرة 1,البساتين,TN125253,البساتين,El Bessatine,TN1252,Soukra,Ariana,36.87648539,10.23103010,3.095042,4103,1.0000,scoped,constituency
أريانة,سكرة 1,دار فضال,TN125252,دار فضال,Dar Fadhal,TN1252,Soukra,Ariana,36.86588751,10.24253330,2.375755,13734,1.0000,scoped,constituency
أريانة,سكرة 1,سكرة,TN125251,سكرة,Soukra,TN1252,Soukra,Ariana,36.87619251,10.25821522,8.426084,19977,1.0000,scoped,constituency
أريانة,سكرة 1,شطرانة,TN125254,شطرانة,Chotrana,TN1252,Soukra,Ariana,36.89526013,10.21943831,6.680596,8093,1.0000,scoped,constituency
أريانة,سكرة 2,التعمير الخامس,TN125257,التعمير,Ettaamir,TN1252,Soukra,Ariana,36.87474335,10.21097287,2.006707,14675,0.9000,scoped,constituency
أريانة,سكرة 2,النسيم,TN125256,النسيم,Ennasim,TN1252,Soukra,Ariana,36.87628642,10.19506466,2.714111,19228,1.0000,scoped,constituency
أريانة,سكرة 2,برج الوزير,TN125255,برج الوزير,Borj El Ouzir,TN1252,Soukra,Ariana,36.86071727,10.20930641,3.010268,8805,1.0000,scoped,constituency
أريانة,قلعة الأندلس - سيدي ثابت,الحسيان,TN125455,الحسيان,El Hessiane,TN1254,Kalaat El Andalous,Ariana,36.98827072,10.18219721,29.195867,537,1.0000,scoped,constituency
أريانة,قلعة الأندلس - سيدي ثابت,المنجي سليم,TN125553,المنجي سليم,Mongi Slim,TN1255,Sidi Thabet,Ariana,36.89504780,10.02586213,16.788542,2969,1.0000,scoped,constituency
أريانة,قلعة الأندلس - سيدي ثابت,النحلي,TN125456,النحلي,Ennahli,TN1254,Kalaat El Andalous,Ariana,36.90217702,10.12179226,7.957027,1380,1.0000,scoped,constituency
أريانة,قلعة الأندلس - سيدي ثابت,بجاوة,TN125552,بجاوة,Bejaoua,TN1255,Sidi Thabet,Ariana,36.86218009,10.01523459,13.464852,2194,1.0000,scoped,constituency
أريانة,قلعة الأندلس - سيدي ثابت,بوحنش,TN125454,بوحنش,Bou Hanach,TN1254,Kalaat El Andalous,Ariana,36.96121024,10.11713982,39.195341,1522,1.0000,scoped,constituency
أريانة,قلعة الأندلس - سيدي ثابت,سبالة بن عمار,TN125554,سبالة بن عمار,Cebalet Ben Ammar,TN1255,Sidi Thabet,Ariana,36.91055471,10.09785342,20.214633,4346,1.0000,scoped,constituency
أريانة,قلعة الأندلس - سيدي ثابت,سيدي ثابت,TN125551,سيدي ثابت,Sidi Thabet,TN1255,Sidi Thabet,Ariana,36.90201174,10.05866472,13.429154,7118,1.0000,scoped,constituency
أريانة,قلعة الأندلس - سيدي ثابت,شرفش,TN125555,شرفش,Chorfech,TN1255,Sidi Thabet,Ariana,36.94902387,10.04994379,33.245882,2528,1.0000,scoped,constituency
أريانة,قلعة الأندلس - سيدي ثابت,قلعة الاندلس الشرقية,TN125451,قلعة الاندلس الشرقية,Kalaat El Andalous Est,TN1254,Kalaat El Andalous,Ariana,37.06357054,10.14772051,60.233652,8050,1.0000,scoped,constituency
أريانة,قلعة الأندلس - سيدي ثابت,قلعة الاندلس الغربية,TN125452,قلعة الاندلس الغربية,Kalaat El Andalous Ouest,TN1254,Kalaat El Andalous,Ariana,37.05756168,10.10519395,23.350525,6896,1.0000,scoped,constituency
أريانة,قلعة الأندلس - سيدي ثابت,قنطرة بنزرت,TN125453,قنطرة بنزرت,Pont De Bizerte,TN1254,Kalaat El Andalous,Ariana,36.99081845,10.07653244,29.420761,2290,1.0000,scoped,constituency
